PedigreeId,Correct_IP,ResultsXLR,ResultsXLD,ResultsAR,ResultsAD
1084LN.json,AD,"[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0, 0]","[4.0, 2.0, 0, 0, 3.749700898442238e-09]"
2055JS.json,AR,"[4.0, 2.0, 0.052734375000001742, 0, 0]","[4.0, 2.0, 0, 0.0048854159000448899, 0]","[4.0, 2.0, 0.079101562499999181, 0, 0]","[4.0, 2.0, 0, 0.00061020280662541827, 0]"
230KK.json,AR,"[4.0, 2.0, 0.070312500000000125, 0, 0]","[4.0, 2.0, 0, 0.0005222544881287786, 0]","[4.0, 2.0, 0.140625000000001, 0, 0]","[4.0, 2.0, 0, 0.0027494921090037267, 0]"
235TL.json,AR,"[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0.12499999999999975, 0.0097884942634678118, 0]","[5.0, 3.0, 0.25000000000001149, 0, 0, 0]","[5.0, 3.0, 0, 0.019525760718247159, 0.0048918105327089203, 0]"
273PA.json,XL,"[3.0, 1.0, 0, 0]","[3.0, 1.0, 0, 0]","[3.0, 1.0, 0, 0]","[3.0, 1.0, 0.00052114296403838346, 0.00030510209700945686]"
277DP.json,XL,"[5.0, 3.0, 0.25000000000001149, 0, 0, 0]","[5.0, 3.0, 0, 0.0068141476839872249, 0, 0]","[5.0, 3.0, 0.140625000000001, 0, 0, 0]","[5.0, 3.0, 0, 0.006840425727248565, 0.01172512979878285, 0]"
302KW.json,XL,"[5.0, 3.0, 0.062500000000003636, 0, 0, 0]","[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0, 0.015387302833247483, 0]"
3061JE.json,AR,"[5.0, 3.0, 0, 0, 0, 0]","[5.0, 3.0, 0, 0.25000000000001149, 0.12499999999999975, 0]","[5.0, 3.0, 0.062500000000003636, 0, 0, 0]","[5.0, 3.0, 0, 0.1877400288934904, 0.093804226488477291, 0]"
3204RS.json,M,"[6.0, 4.0, 0, 0, 0, 0, 0]","[6.0, 4.0, 0, 0, 0.031250000000001041, 0, 0]","[6.0, 4.0, 0.140625000000001, 0, 0, 0, 0]","[6.0, 4.0, 0, 0.0011762102852747197, 0.0029334302233467629, 0, 0]"
3235JW.json,AD,"[10.0, 8.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10.0, 8.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10.0, 8.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10.0, 8.0, 0, 0, 0, 0, 9.6118969763384263e-09, 0, 0, 0, 0]"
3239PB.json,XL,"[5.0, 2.0, 0.0043945312500001466, 0, 0]","[5.0, 2.0, 0, 0, 0]","[5.0, 2.0, 0, 0, 0]","[5.0, 2.0, 0, 0.00017183945298012603, 1.147281394559365e-06]"
3383AT.json,XL,"[7.0, 4.0, 0, 0, 0, 0, 0]","[7.0, 4.0, 0, 0, 0, 0.00048828124999999257, 0]","[7.0, 4.0, 0, 0, 0, 0, 0]","[7.0, 4.0, 0, 0, 0, 0.0001449926416169148, 0]"
3464DF.json,AR,"[4.0, 2.0, 0.070312500000000125, 0, 0]","[4.0, 2.0, 0, 0.0068076043881497702, 0]","[4.0, 2.0, 0.140625000000001, 0, 0]","[4.0, 2.0, 0, 0.0068183618719020829, 0]"
3738KW.json,AD,"[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 0]","[2.0, 0.0, 0.0011761545193549711]"
3743MH.json,AD,"[7.0, 5.0, 0, 0, 0, 0, 0, 0]","[7.0, 5.0, 0, 0, 0, 0, 0, 0]","[7.0, 5.0, 0, 0, 0, 0, 0, 0]","[7.0, 5.0, 0, 0, 0, 3.6246303126744624e-05, 0, 0]"
3818J.json,AR,"[4.0, 4.0, 0, 3.9966405608993092e-05, 0, 0, 0]","[4.0, 4.0, 0, 0, 5.9553463343352354e-07, 2.3841857910157049e-07, 0]","[4.0, 4.0, 0.0059393160045148989, 0.00050525431288405526, 0.0059393160045148989, 0, 0]","[4.0, 4.0, 0, 1.3425254438495007e-06, 5.9712673503980733e-07, 1.4184074359054081e-07, 4.6142859330667806e-11]"
